code,month,carrier,late aircraft,national aviation system,security,weather,cancelled,delayed,diverted,on time,total
ATL,1,1231,1422,1539,5,133,287,4331,33,24841,29492
ATL,2,1342,1742,1301,1,273,1004,4662,19,21681,27366
ATL,3,1496,2025,1533,5,121,298,5181,23,27273,32775
ATL,4,1201,1566,1447,3,139,113,4356,76,26838,31383
ATL,5,1314,1536,1422,5,169,154,4446,141,27684,32425
ATL,6,1748,2300,1803,8,172,298,6031,197,26213,32739
ATL,7,1420,2066,1581,7,185,80,5258,220,28177,33735
ATL,8,1403,1940,1612,6,187,117,5145,150,28313,33725
ATL,9,945,1027,1075,1,86,29,3134,80,28088,31331
ATL,10,1021,1034,1010,4,30,37,3098,11,29448,32594
ATL,11,1112,1420,1457,9,61,58,4060,26,26759,30903
ATL,12,1529,2176,1616,10,147,277,5474,148,25131,31030
BOS,1,545,691,651,2,83,658,1970,10,6203,8841
BOS,2,617,904,1104,0,115,1123,2739,20,4501,8383
BOS,3,697,837,638,1,60,238,2232,28,7482,9980
BOS,4,525,639,677,0,54,68,1895,10,8032,10005
BOS,5,540,654,611,2,71,79,1878,17,8269,10243
BOS,6,701,910,777,0,99,138,2488,7,7911,10544
BOS,7,701,969,618,3,66,85,2356,4,8392,10837
BOS,8,684,890,744,5,78,97,2399,23,8209,10728
BOS,9,468,506,597,2,50,45,1622,6,8051,9724
BOS,10,476,459,498,2,36,57,1471,10,8623,10161
BOS,11,487,439,418,3,22,50,1370,6,8037,9463
BOS,12,581,791,405,3,46,77,1826,10,7190,9103
BWI,1,394,550,290,1,31,163,1266,12,5472,6913
BWI,2,358,499,237,1,58,341,1152,29,4715,6237
BWI,3,417,567,259,3,23,342,1271,28,6122,7763
BWI,4,306,511,195,1,47,45,1059,9,6774,7887
BWI,5,382,571,232,1,47,65,1229,33,6852,8179
BWI,6,541,827,585,2,138,226,2094,85,6014,8419
BWI,7,551,909,513,8,82,48,2063,31,6603,8745
BWI,8,403,654,419,5,82,131,1562,49,6598,8340
BWI,9,301,374,447,4,89,25,1213,22,6457,7717
BWI,10,278,310,283,0,16,11,889,19,7101,8020
BWI,11,341,437,249,3,13,36,1044,9,6799,7888
BWI,12,461,700,243,5,46,76,1453,8,6460,7997
CLT,1,455,386,616,4,41,165,1500,6,7680,9351
CLT,2,456,436,535,2,74,503,1503,11,6282,8299
CLT,3,423,446,644,3,33,125,1548,6,7704,9383
CLT,4,404,407,527,1,39,63,1376,14,7430,8883
CLT,5,360,346,393,1,36,57,1137,15,8017,9226
CLT,6,443,514,607,5,63,88,1632,12,7288,9020
CLT,7,462,525,539,3,48,60,1579,32,7699,9370
CLT,8,451,459,504,4,59,129,1479,29,7626,9263
CLT,9,323,338,494,2,26,42,1186,11,7846,9085
CLT,10,352,330,398,4,12,34,1096,4,8439,9573
CLT,11,374,287,356,1,23,39,1044,10,8092,9185
CLT,12,479,502,638,10,39,69,1667,6,7515,9257
DCA,1,365,371,428,4,52,306,1221,12,5141,6680
DCA,2,407,438,434,2,82,545,1365,19,4303,6232
