code,month,carrier,late aircraft,national aviation system,weather,security
ATL,1,1231,1422,1539,133,5
ATL,2,1342,1742,1301,273,1
ATL,3,1496,2025,1533,121,5
ATL,4,1201,1566,1447,139,3
ATL,5,1314,1536,1422,169,5
ATL,6,1748,2300,1803,172,8
ATL,7,1420,2066,1581,185,7
ATL,8,1403,1940,1612,187,6
ATL,9,945,1027,1075,86,1
ATL,10,1021,1034,1010,30,4
ATL,11,1112,1420,1457,61,9
ATL,12,1529,2176,1616,147,10
BOS,1,545,691,651,83,2
BOS,2,617,904,1104,115,0
BOS,3,697,837,638,60,1
BOS,4,525,639,677,54,0
BOS,5,540,654,611,71,2
BOS,6,701,910,777,99,0
BOS,7,701,969,618,66,3
BOS,8,684,890,744,78,5
BOS,9,468,506,597,50,2
BOS,10,476,459,498,36,2
BOS,11,487,439,418,22,3
BOS,12,581,791,405,46,3
BWI,1,394,550,290,31,1
BWI,2,358,499,237,58,1
BWI,3,417,567,259,23,3
BWI,4,306,511,195,47,1
BWI,5,382,571,232,47,1
BWI,6,541,827,585,138,2
BWI,7,551,909,513,82,8
BWI,8,403,654,419,82,5
BWI,9,301,374,447,89,4
BWI,10,278,310,283,16,0
BWI,11,341,437,249,13,3
BWI,12,461,700,243,46,5
CLT,1,455,386,616,41,4
CLT,2,456,436,535,74,2
CLT,3,423,446,644,33,3
CLT,4,404,407,527,39,1
CLT,5,360,346,393,36,1
CLT,6,443,514,607,63,5
CLT,7,462,525,539,48,3
CLT,8,451,459,504,59,4
CLT,9,323,338,494,26,2
CLT,10,352,330,398,12,4
CLT,11,374,287,356,23,1
CLT,12,479,502,638,39,10
DCA,1,365,371,428,52,4
DCA,2,407,438,434,82,2
DCA,3,441,432,436,29,2
DCA,4,341,333,315,46,1
DCA,5,385,415,447,59,3
DCA,6,431,470,560,84,1
DCA,7,438,462,464,52,2
DCA,8,393,415,364,72,6
DCA,9,300,237,390,59,1
DCA,10,283,253,400,13,0
DCA,11,310,256,330,32,2
DCA,12,400,425,463,58,0
DEN,1,1002,1485,1290,104,4
DEN,2,899,1266,1389,187,1
DEN,3,896,1322,868,64,6
DEN,4,824,1116,995,87,1
DEN,5,906,1231,1214,124,5
DEN,6,1251,1847,1468,204,5
DEN,7,1113,1795,1142,116,3
DEN,8,946,1261,997,97,3
DEN,9,563,704,477,56,2
DEN,10,669,743,744,41,2
DEN,11,751,1031,1197,93,1
DEN,12,1001,1463,981,152,14
DFW,1,1231,2232,1687,130,13
DFW,2,952,1555,1398,176,11
DFW,3,1253,2136,1365,109,3
DFW,4,1096,1415,2026,273,8
DFW,5,1139,1704,1860,286,7
DFW,6,1364,1921,1441,229,8
DFW,7,1093,1575,839,121,6
DFW,8,1013,1391,859,119,7
DFW,9,666,776,408,51,8
DFW,10,733,800,898,132,4
DFW,11,832,1067,974,139,6
DFW,12,959,1187,892,138,12
DTW,1,471,622,540,68,1
DTW,2,554,749,642,95,2
DTW,3,481,729,497,30,3
DTW,4,422,524,407,36,1
DTW,5,487,629,416,49,3
DTW,6,626,772,818,77,1
DTW,7,486,692,533,51,3
DTW,8,484,587,433,63,3
DTW,9,345,391,394,34,2
DTW,10,328,342,400,9,0
DTW,11,346,400,339,20,4
DTW,12,477,563,352,49,1
EWR,1,459,595,751,58,3
EWR,2,487,545,674,80,1
EWR,3,538,590,867,35,0
EWR,4,409,530,592,47,1
EWR,5,413,566,539,56,1
EWR,6,631,972,1113,105,0
EWR,7,585,832,1153,79,0
EWR,8,493,687,725,87,0
EWR,9,344,374,568,57,1
EWR,10,315,436,834,36,1
EWR,11,370,491,1058,38,4
EWR,12,521,650,1202,69,0
FLL,1,446,397,516,52,5
FLL,2,558,490,562,89,6
FLL,3,574,550,474,41,6
FLL,4,366,418,337,30,4
FLL,5,388,437,254,35,6
FLL,6,525,550,423,50,9
FLL,7,542,520,375,33,6
FLL,8,471,445,562,43,9
FLL,9,297,274,485,14,6
FLL,10,323,236,376,10,2
FLL,11,355,299,293,14,2
FLL,12,648,691,572,50,17
IAD,1,255,319,248,33,1
IAD,2,198,230,195,32,1
IAD,3,195,197,141,12,0
IAD,4,165,171,83,19,0
IAD,5,191,195,132,26,0
IAD,6,293,319,238,43,0
IAD,7,249,246,143,30,0
IAD,8,218,201,116,40,2
IAD,9,139,103,132,22,1
IAD,10,140,102,100,11,0
IAD,11,134,106,65,15,1
IAD,12,182,183,61,17,0
IAH,1,710,842,1045,84,1
IAH,2,620,759,757,135,1
IAH,3,748,918,880,84,3
IAH,4,671,816,1245,81,0
IAH,5,776,1168,1685,148,3
IAH,6,914,1357,1112,120,1
IAH,7,726,959,609,76,4
IAH,8,605,837,725,84,2
IAH,9,386,441,429,53,1
IAH,10,438,508,834,32,1
IAH,11,490,643,814,40,3
IAH,12,675,799,833,73,4
JFK,1,434,616,902,53,2
JFK,2,518,857,701,48,5
JFK,3,466,742,1120,45,3
JFK,4,402,474,1055,33,2
JFK,5,332,386,792,41,1
JFK,6,381,482,993,55,2
JFK,7,433,590,799,66,5
JFK,8,435,600,602,69,5
JFK,9,357,387,710,46,5
JFK,10,402,368,706,20,2
JFK,11,361,314,436,24,7
JFK,12,545,756,750,35,5
LAS,1,554,803,494,72,3
LAS,2,571,804,608,90,3
LAS,3,654,861,595,60,4
LAS,4,605,868,685,49,3
LAS,5,641,1075,570,76,6
LAS,6,796,1329,507,65,6
LAS,7,826,1326,554,71,3
LAS,8,634,956,649,79,9
LAS,9,451,515,329,38,5
LAS,10,455,540,587,85,4
LAS,11,519,727,669,50,1
LAS,12,792,1218,568,42,13
LAX,1,901,1187,815,115,6
LAX,2,916,1078,1161,216,6
LAX,3,979,1256,1957,137,6
LAX,4,945,1064,1422,105,2
LAX,5,1045,1209,1253,141,6
LAX,6,1344,1696,1432,140,3
LAX,7,1285,1818,2603,150,5
LAX,8,1094,1438,2078,120,14
LAX,9,694,842,1282,91,6
LAX,10,659,793,780,27,3
LAX,11,835,928,1108,73,11
LAX,12,1257,1513,1528,120,20
LGA,1,519,641,1368,85,4
LGA,2,638,818,1512,145,6
LGA,3,667,705,1594,85,2
LGA,4,491,498,875,59,1
LGA,5,449,532,909,78,4
LGA,6,589,658,1390,121,4
LGA,7,554,719,1380,90,4
LGA,8,466,567,816,95,5
LGA,9,370,309,664,74,2
LGA,10,330,299,789,36,1
LGA,11,434,340,737,45,5
LGA,12,428,473,719,75,0
MCO,1,658,692,657,64,4
MCO,2,751,662,718,107,4
MCO,3,846,782,706,61,2
MCO,4,609,601,515,33,2
MCO,5,643,626,375,46,2
MCO,6,780,911,589,81,7
MCO,7,772,931,606,93,4
MCO,8,705,697,912,106,10
MCO,9,435,396,482,37,4
MCO,10,469,348,329,19,0
MCO,11,501,423,378,25,5
MCO,12,795,829,614,60,15
MDW,1,353,525,321,40,3
MDW,2,346,393,330,42,1
MDW,3,404,518,268,49,1
MDW,4,302,459,280,59,0
MDW,5,351,546,292,100,2
MDW,6,477,717,504,167,4
MDW,7,410,784,497,104,3
MDW,8,331,520,308,107,3
MDW,9,217,303,207,85,1
MDW,10,232,293,118,4,1
MDW,11,207,329,195,69,1
MDW,12,361,603,189,66,6
MIA,1,424,436,522,63,3
MIA,2,413,353,495,81,2
MIA,3,469,439,456,37,2
MIA,4,343,309,402,28,1
MIA,5,374,348,436,44,2
MIA,6,452,454,408,42,6
MIA,7,446,479,508,43,2
MIA,8,409,403,548,55,2
MIA,9,292,244,522,26,3
MIA,10,277,181,241,13,2
MIA,11,300,222,281,22,7
MIA,12,498,379,579,44,11
MSP,1,452,518,542,60,3
MSP,2,506,595,493,97,0
MSP,3,485,541,530,38,4
MSP,4,440,455,592,41,1
MSP,5,458,525,567,51,1
MSP,6,657,885,709,100,4
MSP,7,570,734,694,72,6
MSP,8,544,618,649,78,2
MSP,9,371,392,538,39,4
MSP,10,346,300,508,14,1
MSP,11,400,516,545,50,4
MSP,12,500,619,642,83,1
ORD,1,1181,2439,2787,136,7
ORD,2,1161,2522,2689,232,2
ORD,3,1115,1871,2238,148,2
ORD,4,956,1335,1929,139,5
ORD,5,1095,1687,1839,162,3
ORD,6,1536,2551,3544,250,8
ORD,7,1326,2173,2435,190,7
ORD,8,1157,1832,1948,168,5
ORD,9,834,1149,1785,109,3
ORD,10,847,1077,1257,45,8
ORD,11,838,1287,1724,110,7
ORD,12,923,1755,1364,180,11
PDX,1,239,249,126,19,0
PDX,2,182,225,121,20,0
PDX,3,238,218,83,12,2
PDX,4,180,241,104,9,2
PDX,5,208,264,70,16,2
PDX,6,353,429,173,27,1
PDX,7,367,435,144,24,4
PDX,8,302,370,115,17,2
PDX,9,177,191,88,8,1
PDX,10,150,187,141,12,0
PDX,11,175,223,138,14,2
PDX,12,296,387,235,13,5
PHL,1,317,313,643,42,1
PHL,2,368,351,389,37,1
PHL,3,343,334,559,27,4
PHL,4,314,297,472,33,3
PHL,5,337,325,489,45,2
PHL,6,394,437,722,66,3
PHL,7,386,467,453,50,3
PHL,8,371,390,415,53,1
PHL,9,259,208,433,43,3
PHL,10,254,191,423,15,2
PHL,11,263,216,371,26,4
PHL,12,335,398,641,53,5
PHX,1,694,711,722,90,7
PHX,2,670,716,634,105,4
PHX,3,696,852,694,43,4
PHX,4,644,835,820,38,3
PHX,5,663,853,557,58,7
PHX,6,861,1214,542,73,3
PHX,7,851,1264,591,57,5
PHX,8,701,927,517,74,7
PHX,9,438,443,305,26,6
PHX,10,544,567,442,28,2
PHX,11,570,676,611,37,7
PHX,12,891,1046,680,59,11
SAN,1,352,485,167,25,1
SAN,2,393,458,212,57,0
SAN,3,386,441,187,23,0
SAN,4,375,488,289,22,2
SAN,5,412,552,249,49,0
SAN,6,536,636,259,46,2
SAN,7,518,700,315,32,1
SAN,8,443,510,228,32,1
SAN,9,280,258,164,15,3
SAN,10,245,263,141,12,2
SAN,11,307,364,284,36,3
SAN,12,480,606,256,37,5
SEA,1,425,566,475,79,0
SEA,2,346,454,364,47,3
SEA,3,402,532,337,40,1
SEA,4,396,420,273,31,0
SEA,5,431,535,329,42,4
SEA,6,703,717,529,74,5
SEA,7,670,737,548,37,6
SEA,8,633,756,1072,82,11
SEA,9,392,393,544,48,8
SEA,10,317,434,670,30,2
SEA,11,386,475,646,36,6
SEA,12,518,742,767,50,13
SFO,1,643,986,1116,99,1
SFO,2,609,831,1348,140,3
SFO,3,653,825,864,82,0
SFO,4,613,807,1000,73,1
SFO,5,636,1033,1960,120,3
SFO,6,918,1295,818,103,3
SFO,7,918,1261,1415,83,5
SFO,8,776,1148,1106,108,9
SFO,9,479,637,741,55,1
SFO,10,510,753,792,39,0
SFO,11,585,766,772,65,3
SFO,12,757,1180,2372,147,9
SLC,1,376,479,289,45,2
SLC,2,371,431,246,58,2
SLC,3,373,461,269,29,0
SLC,4,333,431,247,33,1
SLC,5,292,391,210,27,1
SLC,6,458,512,277,58,2
SLC,7,434,598,230,38,1
SLC,8,384,528,195,47,2
SLC,9,231,292,131,19,0
SLC,10,234,257,150,10,1
SLC,11,288,379,294,21,0
SLC,12,483,796,404,56,5
TPA,1,390,343,345,39,2
TPA,2,439,388,334,48,0
TPA,3,494,476,313,26,2
TPA,4,339,362,221,21,1
TPA,5,313,355,268,48,3
TPA,6,489,549,286,42,2
TPA,7,468,543,312,44,2
TPA,8,406,385,320,69,5
TPA,9,260,230,219,27,1
TPA,10,247,187,169,6,1
TPA,11,293,256,159,13,4
TPA,12,476,480,287,43,4
