iata,name,city,state,country,latitude,longitude,carrier,late aircraft,national aviation system,security,weather,cancelled,delayed,diverted,on time,total
ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,15762,20254,17396,64,1703,2752,55176,1124,320446,379498
BOS,Gen Edw L Logan Intl,Boston,MA,USA,42.3643475,-71.00517917,7022,8689,7738,23,780,2715,24246,151,90900,118012
BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,4733,6909,3952,34,672,1509,16295,334,75967,94105
CLT,Charlotte/Douglas International,Charlotte,NC,USA,35.21401111,-80.94312583,4982,4976,6251,40,493,1374,16747,156,91618,109895
DCA,Ronald Reagan Washington National,Arlington,VA,USA,38.85208333,-77.03772222,4494,4507,5031,24,638,1996,14701,256,63664,80617
DEN,Denver Intl,Denver,CO,USA,39.85840806,-104.6670019,10821,15264,12762,47,1325,2352,40223,685,170875,214135
DFW,Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,32.89595056,-97.0372,12331,17759,14647,93,1903,7178,46733,1212,205492,260615
DTW,Detroit Metropolitan-Wayne County,Detroit,MI,USA,42.21205889,-83.34883583,5507,7000,5771,24,581,1349,18883,113,97966,118311
EWR,Newark Intl,Newark,NJ,USA,40.69249722,-74.16866056,5565,7268,10076,12,747,3441,23674,281,84089,111485
FLL,Fort Lauderdale-Hollywood Int'l,Ft. Lauderdale,FL,USA,26.07258333,-80.15275,5493,5307,5229,78,461,880,16567,116,61856,79419
IAD,Washington Dulles International,Chantilly,VA,USA,38.94453194,-77.45580972,2359,2372,1654,6,300,534,6695,55,29998,37282
IAH,George Bush Intercontinental,Houston,TX,USA,29.98047222,-95.33972222,7759,10047,10968,24,1010,2520,29808,731,126851,159910
JFK,John F Kennedy Intl,New York,NY,USA,40.63975111,-73.77892556,5066,6572,9566,44,535,2014,21792,258,78030,102094
LAS,McCarran International,Las Vegas,NV,USA,36.08036111,-115.1523333,7498,11022,6815,60,777,887,26169,225,118619,145900
LAX,Los Angeles International,Los Angeles,CA,USA,33.94253611,-118.4080744,11954,14822,17419,88,1435,2337,45714,315,164069,212435
LGA,LaGuardia,New York,NY,USA,40.77724306,-73.87260917,5935,6559,12753,38,988,4534,26273,659,76685,108151
MCO,Orlando International,Orlando,FL,USA,28.42888889,-81.31602778,7964,7898,6881,59,732,1107,23531,353,95037,120028
MDW,Chicago Midway,Chicago,IL,USA,41.7859825,-87.75242444,3991,5990,3509,26,892,1862,14398,556,71681,88497
MIA,Miami International,Miami,FL,USA,25.79325,-80.29055556,4697,4247,5398,43,498,793,14891,245,59351,75280
MSP,Minneapolis-St Paul Intl,Minneapolis,MN,USA,44.88054694,-93.2169225,5729,6698,7009,31,723,875,20170,130,101576,122751
ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,12969,21678,25539,68,1869,9350,62123,794,241247,313514
PDX,Portland Intl,Portland,OR,USA,45.58872222,-122.5975,2867,3419,1538,21,191,209,8033,82,43310,51634
PHL,Philadelphia Intl,Philadelphia,PA,USA,39.87195278,-75.24114083,3941,3927,6010,32,490,1191,14387,191,56337,72106
PHX,Phoenix Sky Harbor International,Phoenix,AZ,USA,33.43416667,-112.0080556,8223,10104,7115,66,688,1246,26199,234,132064,159743
SAN,San Diego International-Lindbergh,San Diego,CA,USA,32.73355611,-117.1896567,4727,5761,2751,20,386,696,13648,239,61831,76414
SEA,Seattle-Tacoma Intl,Seattle,WA,USA,47.44898194,-122.3093131,5619,6761,6554,59,596,565,19587,185,100955,121292
SFO,San Francisco International,San Francisco,CA,USA,37.61900194,-122.3748433,8097,11522,14304,38,1114,2379,35080,265,124412,162136
SLC,Salt Lake City Intl,Salt Lake City,UT,USA,40.78838778,-111.9777731,4257,5555,2942,17,441,528,13206,135,92088,105957
TPA,Tampa International,Tampa,FL,USA,27.97547222,-82.53325,4614,4554,3233,27,426,597,12851,176,55438,69062
