code,month,carrier,late aircraft,national aviation system,security,weather,cancelled,delayed,diverted,on time,total,carrier2,late aircraft2,weather2,total2,national aviation system2,security2
ATL,1,1231,1422,1539,5,133,287,4331,33,24841,29492,97521,88061,11844,259410,61602,382
ATL,2,1342,1742,1301,1,273,1004,4662,19,21681,27366,112780,109867,35497,318276,60092,40
ATL,3,1496,2025,1533,5,121,298,5181,23,27273,32775,119219,118541,15085,303090,50075,170
ATL,4,1201,1566,1447,3,139,113,4356,76,26838,31383,94652,92755,11694,259165,59912,152
ATL,5,1314,1536,1422,5,169,154,4446,141,27684,32425,119902,110874,17489,330862,82449,148
ATL,6,1748,2300,1803,8,172,298,6031,197,26213,32739,148949,164521,17265,429830,98579,516
ATL,7,1420,2066,1581,7,185,80,5258,220,28177,33735,117880,131352,13118,336605,74056,199
ATL,8,1403,1940,1612,6,187,117,5145,150,28313,33725,114610,126112,14895,332631,76802,212
ATL,9,945,1027,1075,1,86,29,3134,80,28088,31331,80478,62886,5627,189013,39930,92
ATL,10,1021,1034,1010,4,30,37,3098,11,29448,32594,87953,60372,4122,185823,33160,216
ATL,11,1112,1420,1457,9,61,58,4060,26,26759,30903,95024,84231,5921,232209,46457,576
ATL,12,1529,2176,1616,10,147,277,5474,148,25131,31030,148033,173784,19532,435512,93850,313
BOS,1,545,691,651,2,83,658,1970,10,6203,8841,29137,42850,5354,102289,24843,105
BOS,2,617,904,1104,0,115,1123,2739,20,4501,8383,39990,67115,10225,179092,61717,45
BOS,3,697,837,638,1,60,238,2232,28,7482,9980,37767,59425,6230,136607,33080,105
BOS,4,525,639,677,0,54,68,1895,10,8032,10005,27590,38753,3576,99710,29781,10
BOS,5,540,654,611,2,71,79,1878,17,8269,10243,30455,46777,6043,115119,31724,120
BOS,6,701,910,777,0,99,138,2488,7,7911,10544,41994,64214,7864,154535,40434,29
BOS,7,701,969,618,3,66,85,2356,4,8392,10837,42718,67247,4487,140924,26364,108
BOS,8,684,890,744,5,78,97,2399,23,8209,10728,41254,63415,6256,149143,37981,237
BOS,9,468,506,597,2,50,45,1622,6,8051,9724,28421,31180,3197,88341,25418,125
BOS,10,476,459,498,2,36,57,1471,10,8623,10161,27327,29243,2723,81806,22419,94
BOS,11,487,439,418,3,22,50,1370,6,8037,9463,25700,28985,1860,71591,14862,184
BOS,12,581,791,405,3,46,77,1826,10,7190,9103,37047,61538,4339,119609,16537,148
BWI,1,394,550,290,1,31,163,1266,12,5472,6913,18380,30059,2551,61476,10444,42
BWI,2,358,499,237,1,58,341,1152,29,4715,6237,19109,27873,4734,61277,9524,37
BWI,3,417,567,259,3,23,342,1271,28,6122,7763,20239,31931,1691,62871,8924,86
BWI,4,306,511,195,1,47,45,1059,9,6774,7887,17870,28404,2683,56374,7393,24
BWI,5,382,571,232,1,47,65,1229,33,6852,8179,21121,36548,2779,70281,9779,54
BWI,6,541,827,585,2,138,226,2094,85,6014,8419,32245,55718,12431,131077,30638,45
BWI,7,551,909,513,8,82,48,2063,31,6603,8745,32974,56505,5666,117254,21668,441
BWI,8,403,654,419,5,82,131,1562,49,6598,8340,24822,42639,6902,97470,22947,160
BWI,9,301,374,447,4,89,25,1213,22,6457,7717,16569,22549,6964,67202,21020,100
BWI,10,278,310,283,0,16,11,889,19,7101,8020,15537,16437,1548,44417,10884,11
BWI,11,341,437,249,3,13,36,1044,9,6799,7888,18545,22338,733,49170,7429,125
BWI,12,461,700,243,5,46,76,1453,8,6460,7997,23643,43206,4494,80240,8743,154
CLT,1,455,386,616,4,41,165,1500,6,7680,9351,23662,20945,3463,67384,19183,131
CLT,2,456,436,535,2,74,503,1503,11,6282,8299,29049,25098,7378,82707,21093,89
CLT,3,423,446,644,3,33,125,1548,6,7704,9383,21933,26950,3493,73525,20970,179
CLT,4,404,407,527,1,39,63,1376,14,7430,8883,22232,20809,2335,64053,18653,24
CLT,5,360,346,393,1,36,57,1137,15,8017,9226,18773,21499,3256,56697,13102,67
CLT,6,443,514,607,5,63,88,1632,12,7288,9020,27710,31850,5908,89263,23600,195
CLT,7,462,525,539,3,48,60,1579,32,7699,9370,27736,32577,3621,85567,21489,144
CLT,8,451,459,504,4,59,129,1479,29,7626,9263,28686,30615,5436,89858,25001,120
CLT,9,323,338,494,2,26,42,1186,11,7846,9085,20523,19385,1692,59755,18105,50
CLT,10,352,330,398,4,12,34,1096,4,8439,9573,17412,18398,1113,47545,10527,95
CLT,11,374,287,356,1,23,39,1044,10,8092,9185,23108,17043,2013,52825,10633,28
CLT,12,479,502,638,10,39,69,1667,6,7515,9257,26518,31955,3143,84053,22170,267
DCA,1,365,371,428,4,52,306,1221,12,5141,6680,19918,23138,3569,64318,17543,150
DCA,2,407,438,434,2,82,545,1365,19,4303,6232,23155,25336,7900,74330,17879,60
DCA,3,441,432,436,2,29,362,1340,33,5269,7004,23562,26595,2137,70243,17868,81
DCA,4,341,333,315,1,46,57,1036,8,5744,6845,17710,19309,2614,50216,10557,26
DCA,5,385,415,447,3,59,85,1310,9,5544,6948,21100,27464,3915,71254,18662,113
DCA,6,431,470,560,1,84,169,1547,49,4934,6699,25055,35329,6965,101002,33559,94
DCA,7,438,462,464,2,52,102,1422,37,5331,6892,25943,28187,4035,79085,20821,99
DCA,8,393,415,364,6,72,116,1248,25,5599,6988,22368,28408,5209,77341,21100,256
DCA,9,300,237,390,1,59,67,991,8,5526,6592,15097,13926,4463,55838,22328,24
DCA,10,283,253,400,0,13,50,948,16,5804,6818,13815,15132,830,44499,14690,32
DCA,11,310,256,330,2,32,46,928,6,5500,6480,16965,16046,2735,46081,10076,259
DCA,12,400,425,463,0,58,91,1345,34,4969,6439,22553,30956,6675,77875,17683,8
DEN,1,1002,1485,1290,4,104,295,3885,31,12848,17059,64939,102388,8804,230061,53802,128
