,code,name,carrier,late aircraft,national aviation system,security,weather,cancelled,delayed,diverted,on time,total,carrier,late aircraft,national aviation system,security,total,weather,month
50301,JFK,"New York, NY: John F. Kennedy International",73,103,137,0,8,86,322,3,958,1369,5273,7425,6358,0,20055,999,1
50302,LAX,"Los Angeles, CA: Los Angeles International",157,153,108,1,25,41,445,4,2143,2633,10914,9552,3293,42,25261,1460,1
50303,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",645,983,766,4,65,203,2463,6,9794,12466,66714,71284,24137,123,167313,5055,1
50304,SFO,"San Francisco, CA: San Francisco International",60,55,74,0,10,15,200,0,661,876,3108,4709,3394,21,11993,761,1
50305,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",42,27,18,0,0,1,87,1,308,397,2481,1552,625,0,4666,8,1
50306,BOS,"Boston, MA: Logan International",66,74,67,0,18,53,225,1,583,862,3067,4338,2639,0,11123,1079,1
50307,DCA,"Washington, DC: Ronald Reagan Washington National",71,48,52,0,12,20,183,3,724,930,3633,2683,1953,0,8962,693,1
50308,LAS,"Las Vegas, NV: McCarran International",58,57,30,1,11,7,157,1,724,889,3807,3836,1214,61,9667,749,1
50309,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",38,28,33,0,11,6,110,0,394,510,2217,1694,1326,15,5829,577,1
50310,IAD,"Washington, DC: Washington Dulles International",20,22,16,0,0,1,58,1,151,211,1245,1454,560,13,3275,3,1
50311,MIA,"Miami, FL: Miami International",261,309,392,3,37,87,1002,17,3224,4330,16768,22651,13782,202,56189,2786,1
50312,TPA,"Tampa, FL: Tampa International",41,40,21,0,6,5,108,1,394,508,2031,2991,832,0,6130,276,1
50313,PHL,"Philadelphia, PA: Philadelphia International",25,22,29,0,1,17,77,0,189,283,1378,1533,1302,12,4236,11,1
50314,SAN,"San Diego, CA: San Diego International",37,29,13,0,6,4,85,0,347,436,1733,1603,362,0,3937,239,1
50315,ORD,"Chicago, IL: Chicago O'Hare International",209,311,324,1,16,107,862,2,2933,3904,13215,22024,12644,46,49201,1272,1
